time,segment_id,segment_local_time,u,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
0.0,0,0.0,0.0,-1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,0,0.0025,0.0014030044921946702,-1.5000000084378415,-1.8984257646063825e-08,1.5000000059094731,-1.0111485418183854e-05,-2.2762344565208458e-05,7.0813899616582666e-06,-0.008066917577333637,-0.018179861282402992,0.005649153917537087
0.005,0,0.005,0.0028060089843893405,-1.5000000672244551,-1.5149899412577878e-07,1.5000000470763915,-4.022344707395909e-05,-9.074945972182686e-05,2.816614240744196e-05,-0.016000466179416348,-0.03617990653658028,0.011202755218782012
0.0075,0,0.0075,0.00420901347658401,-1.5000002259447855,-5.100447737260412e-07,1.5000001582109665,-9.000310144927271e-05,-0.00020351248087518325,6.301586503273317e-05,-0.023801156942307618,-0.05400067614324574,0.016661195292624775
0.01,0,0.01,0.005612017968778681,-1.500000533353416,-1.2060016879367994e-06,1.5000003734286529,-0.00015911894286622054,-0.00036060389438239066,0.00011139314400513905,-0.031469501002066934,-0.07164271048311331,0.02202486552795539
0.0125,0,0.0125,0.007015022460973352,-1.5000010373777637,-2.3496327328305138e-06,1.5000007262525936,-0.000247240743487047,-0.0005615775375523466,0.00017306154396449168,-0.03900600949475379,-0.08910654993689684,0.027294157313663855
0.015,0,0.015,0.00841802695316802,-1.5000017851212724,-4.050087186441617e-06,1.5000012496160657,-0.00035403955331414526,-0.0008059885986457329,0.0002477856080228481,-0.04641119355642766,-0.10639273488531024,0.03246946203864017
0.0175,0,0.0175,0.009821031445362692,-1.500002822866609,-6.415403986145989e-06,1.500001975864928,-0.0004791877001900575,-0.0010933936168750177,0.0003353308577644908,-0.05368556432314804,-0.12350180570906745,0.037551171091774346
0.02,0,0.02,0.011224035937557362,-1.5000041960788568,-9.552515106040393e-06,1.5000029367600654,-0.0006223587897974738,-0.0014233504824044518,0.0004354637932459265,-0.060829632930974424,-0.1404343027888823,0.04253967586195639
0.0225,0,0.0225,0.012627040429752032,-1.500005949408711,-1.3567248934321963e-05,1.5000041634798371,-0.000783227705659234,-0.0017954184363500718,0.0005479518929958875,-0.06784391051596629,-0.15719076650546873,0.04743536773807629
0.025,0,0.025,0.014030044921946703,-1.5000081266956726,-1.856433365066766e-05,1.5000056866225209,-0.0009614706091383262,-0.0022091580707797004,0.0006725636140153312,-0.07472890821418313,-0.17377173723954062,0.05223863810902407
0.0275,0,0.0275,0.015433049414141371,-1.5000107709712436,-2.4647400603613697e-05,1.5000075362087606,-0.0011567649394378867,-0.002664131328712941,0.0008090683917774393,-0.08148513716168444,-0.19017775537181178,0.05694987836368973
0.03,0,0.03,0.01683605390633604,-1.500013924462121,-3.1918987687935076e-05,1.5000097416840117,-0.0013687894136012013,-0.003159901504121186,0.0009572366402276195,-0.08811310849452968,-0.2064093612829963,0.06156947989096325
0.0325,0,0.0325,0.018239058398530714,-1.5000176285933917,-4.048054272202502e-05,1.5000123319209873,-0.0015972240265117051,-0.003696033241927613,0.0011168397517835043,-0.09461333334877836,-0.22246709535380793,0.06609783407973467
0.035,0,0.035,0.019642062890725384,-1.5000219239917274,-5.043242682527433e-05,1.500015335222105,-0.0018417500508929794,-0.004272092538007177,0.00128765009733495,-0.10098632286048996,-0.2383514979649606,0.07053533231889397
0.0375,0,0.0375,0.02104506738292005,-1.500026850488579,-6.1873917795451e-05,1.5000187793219328,-0.0021020500373087557,-0.004887646739186626,0.0014694410262440383,-0.10723258816572397,-0.25406310949716815,0.07488236599733115
0.04,0,0.04,0.022448071875114724,-1.5000324471233706,-7.490321348607971e-05,1.500022691389635,-0.002377807814162917,-0.005542264543244493,0.0016619868663450786,-0.11335264040053988,-0.26960247033114465,0.07913932650393626
0.0425,0,0.0425,0.023851076367309394,-1.500038752146695,-8.9617435183821e-05,1.5000270980314185,-0.0026687084876994907,-0.006235515998911085,0.0018650629239446014,-0.11934699070099719,-0.2849701208476038,0.08330660522759925
0.045,0,0.045,0.025254080859504063,-1.5000458030235075,-0.00010611263098585106,1.5000320252929795,-0.0029744384420026535,-0.006966972505868508,0.0020784454838213644,-0.12521615020315538,-0.3001666014272596,0.08738459355721014
0.0475,0,0.0475,0.026657085351698733,-1.5000536364363215,-0.00012448377917724103,1.5000374986619485,-0.0032946853389967342,-0.0077362068147506435,0.0023019118092263507,-0.1309606300430739,-0.31519245245082594,0.09137368288165892
0.05,0,0.05,0.028060089843893406,-1.5000622882884023,-0.00014482479160833652,1.5000435430703378,-0.0036291381184462073,-0.00854279302714316,0.002535240141882766,-0.1365809413568123,-0.3300482142990167,0.09527426458983565
0.0525,0,0.0525,0.029463094336088073,-1.5000717937069616,-0.0001672285170721369,1.500050182896987,-0.003977486997955695,-0.009386306595583507,0.0027782097019860437,-0.14207759528043,-0.34473442735254567,0.09908673007063025
0.055,0,0.055,0.030866098828282743,-1.500082187046353,-0.0001917867446816751,1.500057441970009,-0.004339423472969972,-0.010266324323560928,0.0030306006882038403,-0.14745110294998656,-0.3592516319921269,0.10281147071293281
0.0575,0,0.0575,0.032269103320477416,-1.5000935018912651,-0.00021859020724739688,1.5000653435692368,-0.004714640316773961,-0.01118242436551645,0.0032921942776760397,-0.1527019755015414,-0.3736003685984743,0.10644887790563329
0.06,0,0.06,0.03367210781267208,-1.500105771059918,-0.0002477285846545399,1.5000739104286693,-0.005102831580492726,-0.012134186226842867,0.003562772626014746,-0.15783072407115403,-0.38778117755230157,0.10999934303762166
0.0625,0,0.0625,0.035075112304866755,-1.5001190266072562,-0.0002792905072405143,1.5000831647389172,-0.0055036925930914945,-0.013121190763884785,0.0038421188673042964,-0.162837859794884,-0.40179459923432287,0.11346325749778799
0.065,0,0.065,0.03647811679706143,-1.5001332998281443,-0.00031336355917228084,1.50009312814965,-0.00591691996137563,-0.014143020183938577,0.004130017114101245,-0.1677238938087907,-0.41564117402525186,0.11684101267502225
0.0675,0,0.0675,0.037881121289256095,-1.500148621260561,-0.0003500342818237308,1.500103821772041,-0.0063422115699906445,-0.015199258045252394,0.004426252457434372,-0.17248933724893367,-0.42932144230580255,0.12013299995821446
0.07,0,0.07,0.03928412578145077,-1.5001650206887944,-0.00038938817715306626,1.500115266181215,-0.006779266581422211,-0.0162894892570262,0.00473061096680469,-0.17713470125137243,-0.44283594445668895,0.12333961073625462
0.0725,0,0.0725,0.040687130273645435,-1.5001825271466354,-0.00043150971108017836,1.500127481418693,-0.007227785435996136,-0.017413300079411716,0.005042879690185427,-0.18166049695216638,-0.45618522085862456,0.12646123639803272
0.075,0,0.075,0.0420901347658401,-1.5002011689205732,-0.00047648231686402755,1.500140486994839,-0.007687469851878385,-0.018570278123512453,0.005362846654022041,-0.18606723548737503,-0.4693698118923237,0.12949826833243874
0.0775,0,0.0775,0.043493139258034774,-1.5002209735529903,-0.000524388398480023,1.5001543018913068,-0.008158022825075073,-0.019760012351383728,0.005690300863232218,-0.19035542799305794,-0.48239025793850016,0.13245109792836277
0.08,0,0.08,0.04489614375022945,-1.5002419678453558,-0.0005753093339974013,1.5001689445634854,-0.008639148629432455,-0.020982093076032618,0.006025032301205863,-0.19452558560527455,-0.4952470993778677,0.13532011657469475
0.0825,0,0.0825,0.04629914824242412,-1.500264177861421,-0.0006293254789566069,1.5001844329429446,-0.00913055281663694,-0.02223611196141799,0.006366831929805108,-0.19857821946008433,-0.5079408765911403,0.13810571566032465
0.085,0,0.085,0.04770215273461879,-1.500287628930414,-0.0006865161697466708,1.5002007844398828,-0.009631942216215087,-0.0235216620224505,0.006715491689364308,-0.20251384069354678,-0.5204721299590319,0.14080828657414254
0.08750000000000001,0,0.08750000000000001,0.04910515722681346,-1.500312345650233,-0.0007469597269825909,1.5002180159455722,-0.010143024935533602,-0.02483833762499259,0.007070804498690052,-0.20633296044172145,-0.5328413998622564,0.14342822070503844
0.09,0,0.09,0.05050816171900813,-1.5003383518906435,-0.0008107334588827105,1.500236143834805,-0.010663510359799335,-0.026185734485858484,0.00743256425506114,-0.2100360898406677,-0.5450492266815276,0.14596590944190227
0.0925,0,0.0925,0.05191116621120279,-1.5003656707964699,-0.0008779136646460981,1.5002551839683396,-0.011193109152059297,-0.02756344967281419,0.007800565834228609,-0.21362374002644507,-0.5570961507975593,0.14842174417362408
0.095,0,0.095,0.053314170703397466,-1.5003943247907923,-0.0009485756378299281,1.5002751516953465,-0.011731533253200638,-0.028971081604577512,0.00817460509041572,-0.21709642213511315,-0.5689827125910657,0.1507961162890939
0.0975,0,0.0975,0.05471717519559214,-1.5004243355781401,-0.0010227936697268572,1.5002960618558558,-0.012278495881950657,-0.030408230050818018,0.008554478856317944,-0.2204546473027313,-0.5807094524427604,0.1530894171772017
0.1,0,0.1,0.05612017968778681,-1.5004557241476868,-0.0011006410527424075,1.5003179287832016,-0.012833711534876805,-0.03187449613215707,0.008939984943103002,-0.22369892666535904,-0.5922769107333576,0.1553020382268375
0.10250000000000001,0,0.10250000000000001,0.05752318417998148,-1.5004885107764445,-0.0011821900837723424,1.5003407663064696,-0.013396895986386678,-0.033369482320167815,0.009330922140410815,-0.22682977135905583,-0.6036856278435708,0.1574343708268913
0.105,0,0.105,0.058926188672176145,-1.500522715032459,-0.0012675120675800502,1.5003645877529421,-0.013967766288728024,-0.0348927924373752,0.009727090216353547,-0.2298476925198813,-0.6149361441541142,0.15948680636625304
0.1075,0,0.1075,0.06032919316437082,-1.5005583557780033,-0.0013566773201739196,1.5003894059505452,-0.014546040771988738,-0.03644403165725592,0.010128289917515581,-0.23275320128389476,-0.6260290000457017,0.16145973623381285
0.11,0,0.11,0.061732197656565485,-1.500595451172774,-0.0014497551721847214,1.5004152332302945,-0.015131439044096867,-0.038022806504238504,0.010534322968953517,-0.2355468087871558,-0.6369647358990471,0.16335355181846067
0.1125,0,0.1125,0.06313520214876016,-1.500634018677084,-0.0015468139722429877,1.500442081428741,-0.015723681990820606,-0.039628724853703216,0.010944992074196197,-0.2382290261657239,-0.6477438920948643,0.16516864450908644
0.115,0,0.115,0.06453820664095483,-1.5006740750550578,-0.00164792109035639,1.500469961890418,-0.0163224917757683,-0.04126139593198216,0.011360100915244677,-0.24080036455565845,-0.6583670090138671,0.16690540569458032
0.11750000000000001,0,0.11750000000000001,0.0659412111331495,-1.500715636377827,-0.0017531429212871209,1.500498885470287,-0.016927591840388424,-0.04292043031635915,0.011779454152572233,-0.2432613350930191,-0.6688346270367697,0.16856422676383218
0.12,0,0.12,0.06734421562534416,-1.5007587180267234,-0.0018625448879292697,1.500528862536183,-0.017538706903969623,-0.04460543993506983,0.012202857425124372,-0.24561244891386516,-0.6791472865442855,0.17014549910573204
0.1225,0,0.1225,0.06874722011753884,-1.5008033346964746,-0.00197619144468621,1.5005599029712626,-0.018155562963640702,-0.04631603806730166,0.012630117350318836,-0.2478542171542563,-0.689305527917129,0.17164961410916998
0.125,0,0.125,0.07015022460973351,-1.5008495003983986,-0.0020941460808479692,1.5005920161764479,-0.01877788729437058,-0.048051839343193854,0.013061041524045584,-0.2499871509502518,-0.6993098915360136,0.1730769631630359
0.1275,0,0.1275,0.07155322910192818,-1.5008972284635975,-0.002216471323968613,1.5006252110728746,-0.01940540844896835,-0.04981245974383738,0.013495438520666786,-0.2520117614379114,-0.7091609177816535,0.1744279376562199
0.13,0,0.13,0.07295623359412286,-1.5009465315461534,-0.0023432287432436257,1.5006594961043371,-0.020037856258083242,-0.051597516601275026,0.013933117893016857,-0.2539285597532943,-0.7188591470347622,0.1757029289776119
0.1325,0,0.1325,0.07435923808631752,-1.5009974216263218,-0.002474478952887285,1.500694879239735,-0.020674961830204633,-0.05340662859850132,0.014373890172402424,-0.2557380570324603,-0.7284051196760541,0.17690232851610196
0.135,0,0.135,0.07576224257851219,-1.5010499100137267,-0.0026102816155100512,1.5007313679755194,-0.021316457551662074,-0.055239415769462695,0.014817566868602352,-0.2574407644114686,-0.7377993760862428,0.17802652766058005
0.1375,0,0.1375,0.07716524707070686,-1.5011040073505557,-0.0027506954454959336,1.5007689693381385,-0.021962077086625235,-0.05709549949905723,0.015263960469867726,-0.2590371930263789,-0.7470424566460423,0.17907591779993629
0.14,0,0.14,0.07856825156290154,-1.501159723614754,-0.00289577821237988,1.5008076898864846,-0.02261155537710394,-0.05897450252313485,0.015712884442921845,-0.26052785401325057,-0.7561349017361666,0.1800508903230605
0.14250000000000002,0,0.14250000000000002,0.07997125605509621,-1.5012170681232186,-0.003045586744225153,1.50084753571434,-0.02326462864294817,-0.06087604892849727,0.016164153232960242,-0.2619132585081431,-0.7650772517373293,0.18095183661884282
0.145,0,0.145,0.08137426054729087,-1.501276049534994,-0.0032001769310007044,1.5008885124528228,-0.023921034381848054,-0.06279976415289795,0.01661758226365068,-0.263193917647116,-0.7738700470302443,0.18177914807617315
0.1475,0,0.1475,0.08277726503948553,-1.5013366758544662,-0.0033596037279585668,1.5009306252728334,-0.024580511369333858,-0.06474527498504218,0.017072987937133133,-0.2643703425662288,-0.7825138279956259,0.18253321608394155
