path,tau_cmd_Nm,q0_rad,dq0_rad_s,q1_rad,dq1_rad_s,derived_qdd_rad_s2,tau_implied_from_motion_Nm,applied_q1_before,measured_q1_before,applied_q1_after,measured_q1_after,runtime_max_effort_Nm,runtime_effort_mode
set_joint_efforts,0.005,0.0,0.0,4.5692213461734354e-05,0.010966113768517971,2.631867304444313,0.004999999525236772,0.004999999888241291,0.0,0.004999999888241291,0.005000002682209015,3.4028234663852886e+38,force
apply_action,0.005,0.0,0.0,4.5692213461734354e-05,0.010966113768517971,2.631867304444313,0.004999999525236772,0.004999999888241291,0.0,0.004999999888241291,0.005000002682209015,3.4028234663852886e+38,force
set_joint_efforts,0.01,0.0,0.0,9.138442692346871e-05,0.021932227537035942,5.263734608888626,0.009999999050473544,0.009999999776482582,0.0,0.009999999776482582,0.01000000536441803,3.4028234663852886e+38,force
apply_action,0.01,0.0,0.0,9.138442692346871e-05,0.021932227537035942,5.263734608888626,0.009999999050473544,0.009999999776482582,0.0,0.009999999776482582,0.01000000536441803,3.4028234663852886e+38,force
set_joint_efforts,0.02,0.0,0.0,0.00018276885384693742,0.043864455074071884,10.527469217777252,0.01999999810094709,0.019999999552965164,0.0,0.019999999552965164,0.02000001072883606,3.4028234663852886e+38,force
apply_action,0.02,0.0,0.0,0.00018276885384693742,0.043864455074071884,10.527469217777252,0.01999999810094709,0.019999999552965164,0.0,0.019999999552965164,0.02000001072883606,3.4028234663852886e+38,force
set_joint_efforts,0.03,0.0,0.0,0.0002741532225627452,0.06579667329788208,15.7912015914917,0.029999992905055395,0.029999999329447746,0.0,0.029999999329447746,0.029999999329447746,3.4028234663852886e+38,force
apply_action,0.03,0.0,0.0,0.0002741532225627452,0.06579667329788208,15.7912015914917,0.029999992905055395,0.029999999329447746,0.0,0.029999999329447746,0.029999999329447746,3.4028234663852886e+38,force
set_joint_efforts,0.04,0.0,0.0,0.00036553770769387484,0.08772891014814377,21.054938435554504,0.03999999620189418,0.03999999910593033,0.0,0.03999999910593033,0.04000002145767212,3.4028234663852886e+38,force
apply_action,0.04,0.0,0.0,0.00036553770769387484,0.08772891014814377,21.054938435554504,0.03999999620189418,0.03999999910593033,0.0,0.03999999910593033,0.04000002145767212,3.4028234663852886e+38,force
set_joint_efforts,0.045,0.0,0.0,0.0004112297319807112,0.09869498759508133,23.68679702281952,0.04499997916630652,0.04500000178813934,0.0,0.04500000178813934,0.04500001296401024,3.4028234663852886e+38,force
apply_action,0.045,0.0,0.0,0.0004112297319807112,0.09869498759508133,23.68679702281952,0.04499997916630652,0.04500000178813934,0.0,0.04500000178813934,0.04500001296401024,3.4028234663852886e+38,force
set_joint_efforts,0.05,0.0,0.0,0.00045692193089053035,0.10966110974550247,26.318666338920593,0.04999998251327201,0.05000000074505806,0.0,0.05000000074505806,0.04999999701976776,3.4028234663852886e+38,force
apply_action,0.05,0.0,0.0,0.00045692193089053035,0.10966110974550247,26.318666338920593,0.04999998251327201,0.05000000074505806,0.0,0.05000000074505806,0.04999999701976776,3.4028234663852886e+38,force
set_joint_efforts,0.075,0.0,0.0,0.0006853828672319651,0.1644916534423828,39.477996826171875,0.07499996867426972,0.07500000298023224,0.0,0.07500000298023224,0.07499999552965164,3.4028234663852886e+38,force
apply_action,0.075,0.0,0.0,0.0006853828672319651,0.1644916534423828,39.477996826171875,0.07499996867426972,0.07500000298023224,0.0,0.07500000298023224,0.07499999552965164,3.4028234663852886e+38,force
set_joint_efforts,0.1,0.0,0.0,0.0009138438617810607,0.21932221949100494,52.63733267784119,0.09999996502654401,0.10000000149011612,0.0,0.10000000149011612,0.09999994933605194,3.4028234663852886e+38,force
apply_action,0.1,0.0,0.0,0.0009138438617810607,0.21932221949100494,52.63733267784119,0.09999996502654401,0.10000000149011612,0.0,0.10000000149011612,0.09999994933605194,3.4028234663852886e+38,force
set_joint_efforts,0.15,0.0,0.0,0.0013707657344639301,0.3289833068847656,78.95599365234375,0.14999993734853945,0.15000000596046448,0.0,0.15000000596046448,0.14999991655349731,3.4028234663852886e+38,force
apply_action,0.15,0.0,0.0,0.0013707657344639301,0.3289833068847656,78.95599365234375,0.14999993734853945,0.15000000596046448,0.0,0.15000000596046448,0.14999991655349731,3.4028234663852886e+38,force
set_joint_efforts,0.2,0.0,0.0,0.0018276877235621214,0.4386444389820099,105.27466535568237,0.19999993005308803,0.20000000298023224,0.0,0.20000000298023224,0.19999977946281433,3.4028234663852886e+38,force
apply_action,0.2,0.0,0.0,0.0018276877235621214,0.4386444389820099,105.27466535568237,0.19999993005308803,0.20000000298023224,0.0,0.20000000298023224,0.19999977946281433,3.4028234663852886e+38,force
