variant,failure_type,component,start_time_s,end_time_s,phase,min_value
smoke_free,joint,q_branch,0.38,1.64,approach,-0.555228345401
smoke_free,joint,q_branch,2.50125,2.74375,insert,-0.08958821398510342
loose,collision,body,1.9512500000000002,2.2125,insert,-0.001858111455745659
loose,collision,body,3.4525,3.6325000000000003,buffer,0.006883283919601163
loose,collision,body,3.775,4.8075,buffer,-0.09573086587707022
loose,collision,body,4.84375,4.99375,return,0.003384856765230676
loose,collision,rotor_1,1.41875,1.43,insert,0.006350869220137413
loose,collision,rotor_1,1.6175,1.645,insert,0.007869175526929074
loose,collision,rotor_1,1.80375,1.82375,insert,0.006641326433313798
loose,collision,rotor_1,1.8475000000000001,1.8687500000000001,insert,0.008647603628173905
loose,collision,rotor_1,2.07,2.1025,insert,0.003678212488093666
loose,collision,rotor_1,2.12875,2.1350000000000002,insert,0.009672052347317436
loose,collision,rotor_1,2.185,2.1975000000000002,insert,0.00801954336808534
loose,collision,rotor_1,4.54125,4.5775,return,0.0030921447569494114
loose,collision,rotor_1,4.61125,4.61875,return,0.008882741197569958
loose,collision,rotor_1,4.635,4.6450000000000005,return,0.007989231273874828
loose,collision,rotor_1,4.6475,4.66875,return,0.0040671293196377425
loose,collision,rotor_1,4.6725,4.6925,return,0.0014710528530230958
loose,collision,rotor_1,4.695,4.71,return,0.006296830815395026
loose,collision,rotor_1,4.72375,4.73375,return,0.008286211932751572
loose,collision,rotor_1,4.74375,4.7525,return,0.008683217192444059
loose,collision,rotor_1,4.76625,4.7775,return,0.007827724132607131
loose,collision,rotor_1,4.78875,4.8025,return,0.004753832557569538
loose,collision,rotor_1,4.8075,4.8187500000000005,return,0.0070568772134860765
loose,collision,rotor_1,4.8275,4.8325000000000005,return,0.009411482184584591
loose,collision,rotor_1,4.845,4.8525,return,0.008609356067340075
loose,collision,rotor_1,4.86,4.87875,return,0.006163452767063282
loose,collision,rotor_1,4.88625,4.9275,return,0.002775228649013175
loose,collision,rotor_1,4.93,4.9437500000000005,return,0.004802546335517701
loose,collision,rotor_1,4.9475,4.9575000000000005,return,0.007504393793405311
loose,collision,rotor_1,4.96875,4.9750000000000005,return,0.009018486045690161
loose,collision,rotor_1,5.0287500000000005,5.04,return,0.0060922740465044235
loose,collision,rotor_2,1.7775,1.7775,insert,0.009857826667358266
loose,collision,rotor_2,1.7825,1.78375,insert,0.009434916124215304
loose,collision,rotor_2,1.8525,1.865,insert,0.002396686218982298
loose,collision,rotor_2,1.8675,1.90625,insert,0.0026210941462274507
loose,collision,rotor_2,1.9100000000000001,1.935,insert,0.005821312190917087
loose,collision,rotor_2,2.0525,2.0825,insert,0.0072344326787216915
loose,collision,rotor_2,2.10125,2.11625,insert,0.00906872085996949
loose,collision,rotor_2,2.14,2.16,insert,0.007788208506081285
loose,collision,rotor_2,2.17875,2.2075,insert,0.002408598391519592
loose,collision,rotor_2,2.22,2.2275,insert,0.009413954981940498
loose,collision,rotor_2,2.235,2.25625,insert,0.002669234887931913
loose,collision,rotor_2,2.26125,2.28125,insert,0.008081345351079352
loose,collision,rotor_2,2.28375,2.3025,insert,0.003313938151771737
loose,collision,rotor_2,2.315,2.32625,insert,0.00776463004011353
loose,collision,rotor_2,2.33875,2.3537500000000002,insert,0.005657850379019852
loose,collision,rotor_2,2.35625,2.3737500000000002,insert,0.003224285005865809
loose,collision,rotor_2,2.3875,2.39875,insert,0.00790271764346054
loose,collision,rotor_2,2.42875,2.44,insert,0.008960782858247739
loose,collision,rotor_2,2.44875,2.47125,insert,0.004607672998758268
loose,collision,rotor_2,2.47625,2.495,insert,0.006975182368723715
loose,collision,rotor_2,2.5100000000000002,2.5412500000000002,insert,0.0014210303234688268
loose,collision,rotor_2,2.9125,2.9175,insert,0.009764285553283287
loose,collision,rotor_2,2.97,2.97,insert,0.008070521360337696
loose,collision,rotor_2,2.975,2.97625,insert,0.007104646064278318
loose,collision,rotor_2,2.99625,2.9975,insert,0.008169245246711723
loose,collision,rotor_2,3.005,3.00875,insert,0.0049105697816630225
loose,collision,rotor_2,3.15375,3.17375,pull,0.004139465838702755
loose,collision,rotor_2,3.17625,3.21625,pull,0.0018403981182717902
loose,collision,rotor_2,3.22,3.23625,pull,0.006919134353794495
loose,collision,rotor_2,3.2525,3.29625,pull,0.007118363682687289
loose,collision,rotor_2,3.30375,3.32125,pull,0.0015442109121272174
loose,collision,rotor_2,3.33,3.3425000000000002,pull,0.0028352965063952193
loose,collision,rotor_2,3.3512500000000003,3.355,pull,0.009369354941328577
loose,collision,rotor_2,3.375,3.3850000000000002,pull,0.005952042961847296
loose,collision,rotor_2,3.4075,3.41875,buffer,0.0072342025655360125
loose,collision,rotor_2,3.5225,3.595,buffer,0.005912408547611104
loose,collision,rotor_2,3.6025,3.6575,buffer,0.004893358934470502
loose,collision,rotor_2,3.67625,3.74125,buffer,0.008195949818560474
loose,collision,rotor_2,3.75625,3.77125,buffer,0.00956620259050594
loose,collision,rotor_2,3.80875,3.81375,retreat,0.009923315150977927
loose,collision,rotor_2,3.84625,3.89625,retreat,0.006285940769687937
loose,collision,rotor_2,3.95375,3.9975,retreat,0.003868838993599557
loose,collision,rotor_2,4.00375,4.03875,retreat,0.0008523026824295233
loose,collision,rotor_2,4.05875,4.08125,retreat,0.007769158490492693
loose,collision,rotor_2,4.09,4.0975,retreat,0.005294467087688154
loose,collision,rotor_2,4.1025,4.1025,retreat,0.00994363789633386
loose,collision,rotor_2,4.155,4.16625,retreat,0.003324136488493999
loose,collision,rotor_2,4.1725,4.17375,retreat,0.00985256660637483
loose,collision,rotor_2,4.1762500000000005,4.1825,retreat,0.008681191886729282
loose,collision,rotor_2,4.18625,4.19875,retreat,0.004532853379840768
loose,collision,rotor_2,4.21125,4.22375,retreat,0.007125696845338474
loose,collision,rotor_2,4.23125,4.24125,retreat,0.008973690409177847
loose,collision,rotor_3,1.7575,1.76125,insert,0.005944437419388012
loose,collision,rotor_3,1.76625,1.76875,insert,0.00631580004758328
loose,collision,rotor_3,1.7725,1.7725,insert,0.009590935647159283
loose,collision,rotor_3,1.81875,1.82875,insert,0.005457150219142557
loose,collision,rotor_3,1.83125,1.8375000000000001,insert,0.004836439546287273
loose,collision,rotor_3,1.84375,1.85375,insert,0.0036481170229620973
loose,collision,rotor_3,1.86125,1.87125,insert,0.005967860486694347
loose,collision,rotor_3,2.09875,2.1550000000000002,insert,0.008184816671631198
loose,collision,rotor_3,2.22,2.25375,insert,0.006211580061375331
loose,collision,rotor_3,2.49,2.53125,insert,0.006657691929910857
loose,collision,rotor_3,2.53625,2.58625,insert,0.005588426175031954
loose,collision,rotor_3,2.61125,2.67,insert,0.004444742595212899
loose,collision,rotor_3,2.6862500000000002,2.7125,insert,0.0037815901197715087
loose,collision,rotor_3,2.72,2.7287500000000002,insert,0.009191319482647063
loose,collision,rotor_3,2.7600000000000002,2.7675,insert,0.00906796970426019
loose,collision,rotor_3,2.77625,2.7925,insert,0.005825048871683234
loose,collision,rotor_3,2.79625,2.81375,insert,0.004578803697402731
loose,collision,rotor_3,2.8175,2.8325,insert,0.006601226567122426
loose,collision,rotor_3,2.84875,2.8537500000000002,insert,0.009694082025318773
loose,collision,rotor_3,2.8625000000000003,2.87625,insert,0.008279052703676184
loose,collision,rotor_3,2.8850000000000002,2.9325,insert,0.004371350782299446
loose,collision,rotor_3,2.9425,2.95125,insert,0.0071738739126217844
loose,collision,rotor_3,2.96375,2.965,insert,0.009388351479144364
loose,collision,rotor_3,2.96875,2.97125,insert,0.007410174228404073
loose,collision,rotor_3,2.9775,2.9787500000000002,insert,0.008997980175108906
