[rosmaster.main][INFO] 2026-08-03 04:09:24,417: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-08-03 04:09:24,417: Starting ROS Master Node
[xmlrpc][INFO] 2026-08-03 04:09:24,424: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-08-03 04:09:24,424: Started XML-RPC server [http://SC-202607101733:11311/]
[rosmaster.master][INFO] 2026-08-03 04:09:24,424: Master initialized: port[11311], uri[http://SC-202607101733:11311/]
[xmlrpc][INFO] 2026-08-03 04:09:24,424: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-08-03 04:09:24,506: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:24,507: +PARAM [/roslaunch/uris/host_sc_202607101733__33995] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:24,528: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:24,528: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:24,530: +SERVICE [/rosout/get_loggers] /rosout http://SC-202607101733:44283/
[rosmaster.master][INFO] 2026-08-03 04:09:24,530: +SERVICE [/rosout/set_logger_level] /rosout http://SC-202607101733:44283/
[rosmaster.master][INFO] 2026-08-03 04:09:24,531: +PUB [/rosout_agg] /rosout http://SC-202607101733:44283/
[rosmaster.master][INFO] 2026-08-03 04:09:24,532: +SUB [/rosout] /rosout http://SC-202607101733:44283/
[rosmaster.master][INFO] 2026-08-03 04:09:25,493: +PUB [/rosout] /s1_r1_trajectory_capture_87418_1785701365377 http://SC-202607101733:38981/
[rosmaster.master][INFO] 2026-08-03 04:09:25,494: +SERVICE [/s1_r1_trajectory_capture_87418_1785701365377/get_loggers] /s1_r1_trajectory_capture_87418_1785701365377 http://SC-202607101733:38981/
[rosmaster.master][INFO] 2026-08-03 04:09:25,495: +SERVICE [/s1_r1_trajectory_capture_87418_1785701365377/set_logger_level] /s1_r1_trajectory_capture_87418_1785701365377 http://SC-202607101733:38981/
[rosmaster.master][INFO] 2026-08-03 04:09:25,522: publisherUpdate[/rosout] -> http://SC-202607101733:44283/ ['http://SC-202607101733:38981/']
[rosmaster.master][INFO] 2026-08-03 04:09:25,524: publisherUpdate[/rosout] -> http://SC-202607101733:44283/ ['http://SC-202607101733:38981/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-08-03 04:09:27,522: +PUB [/rosout] /platform_publisher_87459_1785701367406 http://SC-202607101733:42919/
[rosmaster.master][INFO] 2026-08-03 04:09:27,523: +SERVICE [/platform_publisher_87459_1785701367406/get_loggers] /platform_publisher_87459_1785701367406 http://SC-202607101733:42919/
[rosmaster.master][INFO] 2026-08-03 04:09:27,524: +SERVICE [/platform_publisher_87459_1785701367406/set_logger_level] /platform_publisher_87459_1785701367406 http://SC-202607101733:42919/
[rosmaster.master][INFO] 2026-08-03 04:09:27,524: +PUB [/global_map] /platform_publisher_87459_1785701367406 http://SC-202607101733:42919/
[rosmaster.master][INFO] 2026-08-03 04:09:27,525: +SUB [/odom_converter/converted_odom1] /platform_publisher_87459_1785701367406 http://SC-202607101733:42919/
[rosmaster.master][INFO] 2026-08-03 04:09:27,528: publisherUpdate[/rosout] -> http://SC-202607101733:44283/ ['http://SC-202607101733:38981/', 'http://SC-202607101733:42919/']
[rosmaster.master][INFO] 2026-08-03 04:09:27,528: publisherUpdate[/rosout] -> http://SC-202607101733:44283/ ['http://SC-202607101733:38981/', 'http://SC-202607101733:42919/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-08-03 04:09:27,601: +PARAM [/roslaunch/uris/host_sc_202607101733__39171] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,603: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,603: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,603: +PARAM [/mode] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,603: +PARAM [/start_x] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,603: +PARAM [/start_y] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,603: +PARAM [/start_z] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,603: +PARAM [/end_x] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,603: +PARAM [/end_y] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,603: +PARAM [/end_z] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/object_qx] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/object_qy] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/object_qz] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/object_qw] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/object_px] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/object_py] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/object_pz] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/num_pre_point] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/num_post_point] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/scale] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/staticR] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/dynar] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/upper_arm] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/lower_arm] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/rate] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/mass] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/debug] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/debug_endEffector] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/object_height] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/MapTopic] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/TargetTopic] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/OdomFrame] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/UpperArm] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/LowerArm] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/StaticRadius] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/EndEffectorRadius] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/MapHeight] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/PolyhedronBox] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/MaxLengthLine] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/Rho] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/TotalT] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/QdIntervals] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/HorizHalfLen] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/VertHalfLen] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/SafeMargin] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/BiasArmToBody] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/VelMax] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/ThrustAccMin] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/ThrustAccMax] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/BodyRateMax] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/InitVel] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:27,604: +PARAM [/se3_node/ArmVelMax] by /roslaunch
