elapsed_s,cost
10.075,6.20901e+17
10.075,4.99037e+20
10.075,2.34841e+21
10.075,4.00808e+19
10.075,8.90493e+17
10.075,2.7983e+16
10.075,2.69999e+16
15.087,2.59642e+16
15.087,2.39361e+16
15.087,1.08503e+16
15.087,6193020000000000.0
15.087,3145760000000000.0
15.087,1750940000000000.0
15.087,918224000000000.0
15.087,412023000000000.0
15.087,233065000000000.0
15.087,139973000000000.0
15.087,75192200000000.0
15.087,33442800000000.0
15.087,66356400000000.0
15.087,27528600000000.0
15.087,11925500000000.0
15.087,8895910000000.0
15.087,6815760000000.0
15.087,5714800000000.0
15.087,4079390000000.0
15.087,1812070000000.0
15.087,775772000000.0
15.087,391298000000.0
15.087,258310000000.0
15.087,156473000000.0
15.087,80902600000.0
15.087,44331800000.0
15.087,22595900000.0
15.087,11031700000.0
15.087,6330070000.0
15.087,4510030000.0
15.087,2687750000.0
20.101,1490680000.0
20.101,850578000.0
20.101,525703000.0
20.101,382177000.0
20.101,259894000.0
20.101,163361000.0
20.101,116600000.0
20.101,84017700.0
20.101,71798000.0
20.101,68278300.0
20.101,66078000.0
20.101,65042700.0
20.101,63353700.0
20.101,60714500.0
20.101,59869400.0
20.101,57467700.0
20.101,55836600.0
20.101,54523600.0
20.101,54134100.0
20.101,53647100.0
20.101,53349600.0
20.101,3387000000.0
20.101,113693000.0
20.101,53035400.0
20.101,9244280000.0
20.101,1100420000.0
20.101,132071000.0
20.101,56391000.0
20.101,52979500.0
20.101,52836500.0
25.115,52732800.0
25.115,52408500.0
25.115,52515200.0
25.115,52195300.0
25.115,81971300.0
25.115,53991700.0
25.115,52143400.0
25.115,51938400.0
25.115,51878000.0
25.115,51596700.0
25.115,51441200.0
25.115,51323800.0
25.115,51138000.0
25.115,50737000.0
25.115,50415800.0
25.115,50306000.0
25.115,50159700.0
25.115,50132700.0
25.115,50014200.0
25.115,49796200.0
25.115,49685700.0
25.115,49534000.0
25.115,49407800.0
25.115,49133800.0
25.115,48884800.0
25.115,48773300.0
25.115,48564000.0
25.115,48144200.0
25.115,48008600.0
25.115,48129100.0
30.127,47907700.0
30.127,47800400.0
30.127,47705300.0
30.127,68635900.0
30.127,47582600.0
30.127,47309800.0
30.127,47148900.0
30.127,13256300000.0
30.127,2196200000.0
30.127,94296600.0
30.127,46864200.0
30.127,11893500000.0
30.127,2740110000.0
30.127,343558000.0
30.127,67257600.0
30.127,47569600.0
30.127,46815200.0
30.127,46639200.0
30.127,48439700.0
30.127,46595000.0
30.127,313495000.0
30.127,50041800.0
30.127,46741200.0
30.127,46451400.0
30.127,46319300.0
30.127,46228600.0
30.127,425680000.0
30.127,50495500.0
30.127,46018000.0
30.127,45857800.0
35.271,50554300.0
35.271,45980200.0
35.271,45806700.0
35.271,76402300.0
35.271,46006300.0
35.271,45561300.0
35.271,45479800.0
35.271,45357400.0
35.271,45283500.0
35.271,45109400.0
35.271,45007500.0
35.271,44882700.0
35.271,44711200.0
35.271,44630400.0
35.271,44553600.0
35.271,44303100.0
35.271,44036000.0
35.271,44747500.0
35.271,43874100.0
35.271,43535300.0
35.271,43434300.0
35.271,43578200.0
35.271,43310200.0
35.271,43165300.0
35.271,42811900.0
35.271,2539330000.0
35.271,310656000.0
35.271,65700500.0
35.271,44432200.0
35.271,42871400.0
35.271,42795500.0
35.271,42714400.0
35.271,42549600.0
40.279,202442000.0
40.279,54383700.0
40.279,43235600.0
40.279,42524800.0
40.279,42464000.0
40.279,42407800.0
40.279,43010700.0
40.279,42180600.0
40.279,45240400.0
40.279,42269700.0
40.279,42119500.0
40.279,41877000.0
40.279,41718700.0
40.279,41577600.0
40.279,41384900.0
40.279,41029900.0
40.279,44932800.0
40.279,41031500.0
40.279,40877400.0
40.279,40743000.0
40.279,40521600.0
40.279,40252300.0
40.279,39748200.0
40.279,112261000.0
40.279,40055800.0
40.279,39608100.0
40.279,82766500.0
40.279,40666400.0
40.279,39543800.0
40.279,39549900.0
40.279,39442900.0
40.279,39322700.0
45.284,39313200.0
45.284,39142400.0
45.284,1302830000.0
45.284,52332400.0
45.284,38890600.0
45.284,38887700.0
45.284,39057500.0
45.284,38800000.0
45.284,38582500.0
45.284,148560000.0
45.284,46476300.0
45.284,38834900.0
45.284,38476400.0
45.284,38562900.0
45.284,38442300.0
45.284,38358600.0
45.284,45046400.0
45.284,38378200.0
45.284,38211100.0
45.284,38726000.0
45.284,38184500.0
45.284,38317300.0
45.284,37995900.0
45.284,37942200.0
45.284,37843800.0
45.284,37726300.0
45.284,37661200.0
45.284,37559100.0
45.284,37419100.0
45.284,37357600.0
50.305,39226300.0
50.305,37354900.0
50.305,37145600.0
50.305,37081500.0
50.305,37011300.0
50.305,37108100.0
50.305,36960100.0
50.305,36814200.0
50.305,36654700.0
50.305,36466200.0
