[rosmaster.main][INFO] 2026-08-02 17:47:56,236: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-08-02 17:47:56,236: Starting ROS Master Node
[xmlrpc][INFO] 2026-08-02 17:47:56,238: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-08-02 17:47:56,238: Started XML-RPC server [http://SC-202607101733:11311/]
[xmlrpc][INFO] 2026-08-02 17:47:56,238: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-08-02 17:47:56,238: Master initialized: port[11311], uri[http://SC-202607101733:11311/]
[rosmaster.master][INFO] 2026-08-02 17:47:56,311: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:56,312: +PARAM [/roslaunch/uris/host_sc_202607101733__39585] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:56,331: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:56,331: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:56,334: +SERVICE [/rosout/get_loggers] /rosout http://SC-202607101733:43061/
[rosmaster.master][INFO] 2026-08-02 17:47:56,334: +SERVICE [/rosout/set_logger_level] /rosout http://SC-202607101733:43061/
[rosmaster.master][INFO] 2026-08-02 17:47:56,335: +PUB [/rosout_agg] /rosout http://SC-202607101733:43061/
[rosmaster.master][INFO] 2026-08-02 17:47:56,335: +SUB [/rosout] /rosout http://SC-202607101733:43061/
[rosmaster.master][INFO] 2026-08-02 17:47:59,164: +PUB [/rosout] /platform_publisher_4085_1785664079144 http://SC-202607101733:38753/
[rosmaster.master][INFO] 2026-08-02 17:47:59,168: +SERVICE [/platform_publisher_4085_1785664079144/get_loggers] /platform_publisher_4085_1785664079144 http://SC-202607101733:38753/
[rosmaster.master][INFO] 2026-08-02 17:47:59,170: +SERVICE [/platform_publisher_4085_1785664079144/set_logger_level] /platform_publisher_4085_1785664079144 http://SC-202607101733:38753/
[rosmaster.master][INFO] 2026-08-02 17:47:59,170: +PUB [/global_map] /platform_publisher_4085_1785664079144 http://SC-202607101733:38753/
[rosmaster.master][INFO] 2026-08-02 17:47:59,171: +SUB [/odom_converter/converted_odom1] /platform_publisher_4085_1785664079144 http://SC-202607101733:38753/
[rosmaster.master][INFO] 2026-08-02 17:47:59,242: publisherUpdate[/rosout] -> http://SC-202607101733:43061/ ['http://SC-202607101733:38753/']
[rosmaster.master][INFO] 2026-08-02 17:47:59,244: publisherUpdate[/rosout] -> http://SC-202607101733:43061/ ['http://SC-202607101733:38753/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-08-02 17:47:59,351: +PARAM [/roslaunch/uris/host_sc_202607101733__38215] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,354: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/mode] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/push/num_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/push/inter_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/push/object/position] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/push/object/quaternion] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/push/start_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/push/end_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/pull/num_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/pull/inter_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/pull/object/position] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/pull/object/quaternion] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/pull/start_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/pull/end_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/lift/num_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/lift/inter_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/lift/object/position] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/lift/object/quaternion] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/lift/start_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-02 17:47:59,355: +PARAM [/lift/end_pt] by /roslaunch
