[rosmaster.main][INFO] 2026-08-03 15:39:33,600: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-08-03 15:39:33,600: Starting ROS Master Node
[xmlrpc][INFO] 2026-08-03 15:39:33,611: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-08-03 15:39:33,613: Started XML-RPC server [http://SC-202607101733:11311/]
[xmlrpc][INFO] 2026-08-03 15:39:33,614: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-08-03 15:39:33,613: Master initialized: port[11311], uri[http://SC-202607101733:11311/]
[rosmaster.master][INFO] 2026-08-03 15:39:33,688: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:39:33,689: +PARAM [/roslaunch/uris/host_sc_202607101733__35997] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:39:33,714: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:39:33,715: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:39:33,716: +SERVICE [/rosout/get_loggers] /rosout http://SC-202607101733:45427/
[rosmaster.master][INFO] 2026-08-03 15:39:33,716: +SERVICE [/rosout/set_logger_level] /rosout http://SC-202607101733:45427/
[rosmaster.master][INFO] 2026-08-03 15:39:33,719: +PUB [/rosout_agg] /rosout http://SC-202607101733:45427/
[rosmaster.master][INFO] 2026-08-03 15:39:33,720: +SUB [/rosout] /rosout http://SC-202607101733:45427/
[rosmaster.master][INFO] 2026-08-03 15:39:33,806: +PUB [/rosout] /s2_r2_crossarm_map_publisher_100987_1785742773471 http://SC-202607101733:43765/
[rosmaster.master][INFO] 2026-08-03 15:39:33,808: publisherUpdate[/rosout] -> http://SC-202607101733:45427/ ['http://SC-202607101733:43765/']
[rosmaster.master][INFO] 2026-08-03 15:39:33,809: +SERVICE [/s2_r2_crossarm_map_publisher_100987_1785742773471/get_loggers] /s2_r2_crossarm_map_publisher_100987_1785742773471 http://SC-202607101733:43765/
[rosmaster.master][INFO] 2026-08-03 15:39:33,810: +SERVICE [/s2_r2_crossarm_map_publisher_100987_1785742773471/set_logger_level] /s2_r2_crossarm_map_publisher_100987_1785742773471 http://SC-202607101733:43765/
[rosmaster.master][INFO] 2026-08-03 15:39:33,810: publisherUpdate[/rosout] -> http://SC-202607101733:45427/ ['http://SC-202607101733:43765/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-08-03 15:39:33,811: +PUB [/global_map] /s2_r2_crossarm_map_publisher_100987_1785742773471 http://SC-202607101733:43765/
[rosmaster.master][INFO] 2026-08-03 15:39:34,586: +PUB [/rosout] /s1_r1_trajectory_capture_101098_1785742774470 http://SC-202607101733:44981/
[rosmaster.master][INFO] 2026-08-03 15:39:34,588: +SERVICE [/s1_r1_trajectory_capture_101098_1785742774470/get_loggers] /s1_r1_trajectory_capture_101098_1785742774470 http://SC-202607101733:44981/
[rosmaster.master][INFO] 2026-08-03 15:39:34,589: +SERVICE [/s1_r1_trajectory_capture_101098_1785742774470/set_logger_level] /s1_r1_trajectory_capture_101098_1785742774470 http://SC-202607101733:44981/
[rosmaster.master][INFO] 2026-08-03 15:39:34,608: publisherUpdate[/rosout] -> http://SC-202607101733:45427/ ['http://SC-202607101733:43765/', 'http://SC-202607101733:44981/']
[rosmaster.master][INFO] 2026-08-03 15:39:34,609: publisherUpdate[/rosout] -> http://SC-202607101733:45427/ ['http://SC-202607101733:43765/', 'http://SC-202607101733:44981/']: sec=0.00, result=[1, '', 0]
