time_s,q1_rad,q2_rad,q3_rad,qdot1_rad_s,qdot2_rad_s,qdot3_rad_s,qddot1_rad_s2,qddot2_rad_s2,qddot3_rad_s2
0,0.157989852165,0.157989852165,0.157989852165,9.93657278663e-05,-0.000366459435121,0.000173987222574,-0.023233163439,0.0836487432571,-0.0395280188283
0.01,0.157989334627,0.157991712656,0.157988973266,-0.000202873292876,0.000738557607216,-0.000349766913866,-0.0372146407095,0.13735466521,-0.0652228084597
0.02,0.157985794699,0.158004623317,0.157982856827,-0.000644927086324,0.00238063386908,-0.00113046894662,-0.057578398287,0.217075227063,-0.103495772858
0.03,0.157976436085,0.158039325333,0.157966363888,-0.00135444125862,0.00508006214847,-0.00241968237103,-0.0831157623599,0.321136315078,-0.153807478991
0.04,0.157958705874,0.15810622456,0.157934463179,-0.00230724233352,0.00880336017064,-0.00420661852645,-0.106251519776,0.42185195574,-0.203037718027
0.05,0.157930291239,0.158215392537,0.157882231517,-0.00347947165413,0.0135171012633,-0.00648043673158,-0.127015731797,0.519223387255,-0.251180101402
0.06,0.157889116441,0.158376566585,0.157804854445,-0.00484755696947,0.0191878279157,-0.00923022055449,-0.145435756603,0.613243664215,-0.29822595173
0.07,0.157833340099,0.158599149095,0.157697627106,-0.00638818678619,0.0257819745476,-0.0124449557662,-0.161536527264,0.703898574452,-0.344164464599
0.08,0.157761352705,0.158892206076,0.157555955329,-0.00807828751476,0.0332657994048,-0.0161135098465,-0.175340832522,0.791167549378,-0.388982857247
0.09,0.157671774349,0.159264465083,0.157375356909,-0.00989500343662,0.0416053255351,-0.0202246129111,-0.186869600229,0.875024570519,-0.432666504149
0.1,0.157563452636,0.159724312587,0.157151463071,-0.0118156795193,0.0507662908151,-0.0247668399294,-0.196142183337,0.95543907382,-0.47519905972
0.11,0.157435460759,0.160279790899,0.15688002011,-0.0138178471034,0.0607141070115,-0.0297285941055,-0.203176648326,1.03237685243,-0.516562568581
0.12,0.157287095694,0.160938594727,0.156556891189,-0.0158792124859,0.0714138278638,-0.0350980913011,-0.207990066143,1.10580095782,-0.556737563803
0.13,0.157117876509,0.161708067457,0.156178058284,-0.0179776484262,0.082830126168,-0.0408633453816,-0.210598805553,1.17567259801,-0.59570315363
0.14,0.156927542726,0.162595197251,0.155739624281,-0.0200911885969,0.0949272798241,-0.0470121543737,-0.211018828861,1.24195203116,-0.633437097328
0.15,0.156716052737,0.163606613053,0.155237815197,-0.0221980250034,0.107669166791,-0.0535320873281,-0.209265989927,1.30459945163,-0.669915870877
0.16,0.156483582226,0.164748580586,0.154668982535,-0.0242765083954,0.121019268857,-0.0604104717912,-0.20535633425,1.36357586518,-0.705114723286
0.17,0.156230522569,0.16602699843,0.154029605761,-0.0263051516884,0.134940684095,-0.0676343817939,-0.199306400903,1.41884394925,-0.739007724387
0.18,0.155957479192,0.167447394268,0.153316294899,-0.0282626364135,0.149396147842,-0.075190626279,-0.191133525951,1.4703688935,-0.771567805005
0.19,0.155665269841,0.169014921387,0.152525793236,-0.0301278222075,0.164348061965,-0.083065737894,-0.180856146794,1.51811921559,-0.802766790547
0.2,0.155354922748,0.170734355508,0.151654980141,-0.0318797593494,0.179758532154,-0.0912459620899,-0.168494106851,1.56206754675,-0.832575429073
0.21,0.155027674654,0.17261009203,0.150700873994,-0.0334977043445,0.1955894129,-0.0997172464754,-0.154068959797,1.60219138122,-0.860963414899
0.22,0.154684968661,0.174646143766,0.149660635211,-0.0349611385453,0.211802359778,-0.108465230388,-0.137604272286,1.63847378367,-0.887899409025
0.23,0.154328451883,0.176846139226,0.148531569386,-0.0362497897902,0.228358888573,-0.117475234656,-0.119125924092,1.67090404893,-0.913351057623
0.24,0.153959972865,0.179213321537,0.147311130518,-0.0373436570271,0.245220440756,-0.12673225154,-0.0986624042831,1.69947830784,-0.93728500986
0.25,0.153581578742,0.181750548041,0.145996924355,-0.0382230378759,0.26234845473,-0.136220934853,-0.0762451018488,1.72420007407,-0.959666936445
0.26,0.153195512108,0.184460290632,0.144586711821,-0.0388685590641,0.279704442238,-0.145925590269,-0.0519085890499,1.74508072647,-0.980461550387
0.27,0.152804207561,0.187344636886,0.14307841255,-0.0392612096569,0.29725006926,-0.155830165861,-0.0256908954876,1.7621399225,-0.999632631483
0.28,0.152410287914,0.190405292017,0.141470108504,-0.0393823769739,0.314947240688,-0.165918242899,0.00236622927354,1.77540593862,-1.01714305599
0.29,0.152016560022,0.193643581699,0.139760047692,-0.0392138850714,0.332758188032,-0.176173026981,0.0322170668126,1.78491593418,-1.03295483317
0.3,0.151626010213,0.197060455777,0.137946647964,-0.0387380356376,0.350645559372,-0.186577339562,0.0638116973673,1.79071613657,-1.04702915037
0.31,0.151241799309,0.200656492887,0.136028500901,-0.037937651124,0.368572510763,-0.197113609988,0.0970957864044,1.79286194577,-1.05932642838
0.32,0.150867257191,0.204431905993,0.134004375765,-0.0367961199095,0.386502798287,-0.20776386813,0.132010393024,1.79141795761,-1.06980638864
0.33,0.150505876911,0.208386548852,0.131873223538,-0.0352974432636,0.404400869916,-0.218509737761,0.168491803267,1.78645790602,-1.07842813428
0.34,0.150161308325,0.212519923391,0.12963418101,-0.0334262838442,0.422231956408,-0.229332430815,0.206471391296,1.7780645254,-1.0851502467
0.35,0.149837351234,0.216831187981,0.127286574922,-0.0311680154377,0.439962160424,-0.240212742695,0.245875511493,1.76632933518,-1.08993089933
0.36,0.149537948017,0.2213191666,0.124829926156,-0.0285087736143,0.457558543111,-0.251131048802,0.286625424513,1.75135234988,-1.09272799061
0.37,0.149267175762,0.225982358843,0.122263953946,-0.0254355069474,0.474989207421,-0.262067302507,0.328637260311,1.73324171822,-1.09349929775
0.38,0.149029237878,0.230818950748,0.119588580105,-0.0219360284081,0.492223377476,-0.273001034757,0.371822020966,1.71211329628,-1.09220265293
0.39,0.148828455193,0.235826826392,0.11680393325,-0.0179990665281,0.509231473347,-0.283911355565,0.416085625863,1.68809016005,-1.0887961436
0.4,0.148669256547,0.241003580215,0.113910352994,-0.0136143158909,0.525985180677,-0.294776957629,0.461329001739,1.66130206347,-1.08323833844
0.41,0.148556168876,0.246346530006,0.110908394098,-0.00877248649329,0.542457514616,-0.305576122334,0.507448219592,1.63188484836,-1.07548854011
0.42,0.148493806817,0.251852730507,0.107798830547,-0.00346535149901,0.558622877644,-0.316286728431,0.554334680121,1.59997981354,-1.06550706601
0.43,0.148486861846,0.257518987559,0.104582659529,0.00231420710913,0.574457110887,-0.326886263655,0.601875348901,1.56573305008,-1.05325555806
0.44,0.148540090959,0.263341872725,0.101261105274,0.008572155479,0.589937538645,-0.337351839592,0.649953041941,1.52929475026,-1.03869732194
0.45,0.148658304955,0.269317738332,0.0978356227374,0.015313267948,0.605043005892,-0.347660210093,0.698446761724,1.4908184977,-1.0217976962
0.46,0.148846356318,0.275442732843,0.0943079010725,0.0225410907135,0.619753908599,-0.357787793516,0.74723208315,1.45046054606,-1.00252445107
0.47,0.149109126769,0.281712816504,0.0906798668671,0.030257909611,0.634052216813,-0.367710699115,0.796181588139,1.40837909352,-0.980848216453
0.48,0.149451514511,0.288123777179,0.0869536870902,0.0384647224763,0.64792149047,-0.377404757845,0.845165346818,1.36473356001,-0.956742938121
0.49,0.149878421219,0.294671246313,0.0831317717102,0.0471612165473,0.661346888014,-0.386845557877,0.894051442669,1.31968387393,-0.930186360342
0.5,0.150394738841,0.301350714939,0.0792167759327,0.0563457513296,0.674315167948,-0.396008485052,0.942706538125,1.27338977436,-0.901160532882
0.51,0.151005336246,0.308157549672,0.0752116020091,0.0660153473098,0.686814683501,-0.404868768535,0.990996476303,1.22601013467,-0.869652339424
0.52,0.151715045788,0.315087008609,0.071119400562,0.0761656808557,0.698835370642,-0.413401531841,1.03878691402,1.17770231249,-0.835654043743
0.53,0.152528649863,0.322134257085,0.0669435713723,0.0867910855901,0.710368729751,-0.42158184941,1.08594398042,1.12862153083,-0.799163849334
0.54,0.153450867499,0.329294383204,0.0626877635738,0.097884560464,0.721407801258,-0.429384808827,1.13233495501,1.07892029416,-0.760186467251
0.55,0.154486341072,0.33656241311,0.0583558751958,0.10943778469,0.731947135634,-0.436785578755,1.17782895835,1.02874784299,-0.718733686199
0.56,0.155639623193,0.343933325917,0.0539520519987,0.121441139631,0.741982758118,-0.443759482551,1.22229764818,0.978249649497,-0.674824938048
0.57,0.156915163865,0.351402068272,0.0494806855447,0.133883737654,0.751512128624,-0.450282077516,1.26561591347,0.927566956557,-0.628487851126
0.58,0.158317297946,0.35896356849,0.0449464104484,0.1467534579,0.760534097249,-0.456329239574,1.30766255874,0.876836361575,-0.579758782975
0.59,0.159850233023,0.366612750217,0.0403541007533,0.160036988829,0.769048855855,-0.461877253175,1.34832097092,0.826189446173,-0.528683323345
0.6,0.161518037723,0.374344545607,0.0357088653849,0.173719877319,0.777057886173,-0.466902906041,1.38747976079,0.775752452104,-0.475316757811
0.61,0.163324630569,0.382153907941,0.0310160426324,0.187786584045,0.784563904897,-0.471383588331,1.42503337199,0.725646003461,-0.419724481736
0.62,0.165273769404,0.390035823705,0.0262811936182,0.202220544758,0.791570806242,-0.475297395676,1.46088264999,0.675984874545,-0.361982353988
0.63,0.167369041464,0.397985324066,0.0215100947189,0.217004237044,0.798083602388,-0.478623235411,1.49493536478,0.626877802498,-0.302176979726
0.64,0.169613854145,0.405997495752,0.01670872891,0.232119252054,0.804108362292,-0.48134093527,1.52710668109,0.578427343413,-0.240405911403
0.65,0.172011426505,0.414067491312,0.0118832760135,0.247546370666,0.809652149257,-0.483431353639,1.55731957092,0.530729770292,-0.176777757637
0.66,0.174564781558,0.422190538737,0.00704010183724,0.263265643473,0.814722957698,-0.484876490423,1.58550516399,0.483875010923,-0.11141219
0.67,0.177276739375,0.430361950465,0.00218574620507,0.279256473946,0.819329649475,-0.485659597439,1.61160303256,0.437946623559,-0.0444398385552
0.68,0.180149911037,0.438577131727,-0.00267309011154,0.295497704124,0.823481890169,-0.485765287194,1.63556140811,0.393021808086,0.0239979317662
0.69,0.183186693457,0.446831588269,-0.00752955953881,0.311967702108,0.827190085637,-0.485179638804,1.65733732831,0.349171450157,0.0937493705953
0.7,0.186389265079,0.45512093344,-0.0123766828876,0.32864445069,0.830465319172,-0.483890299782,1.67689671384,0.306460195784,0.164652822259
0.71,0.189759582471,0.463440894652,-0.0172073655345,0.345505636385,0.833319289552,-0.481886582359,1.69421437548,0.264946553726,0.236537339437
0.72,0.193299377807,0.471787319231,-0.0220144145348,0.3625287382,0.835764250246,-0.479159552993,1.70927395299,0.224683022959,0.309223431013
0.73,0.197010157235,0.480156179657,-0.0267905565943,0.379691115445,0.837812950012,-0.475702113738,1.72206778819,0.185716242599,0.382523942337
0.74,0.200893200116,0.488543578231,-0.0315284568096,0.396970093964,0.839478575098,-0.471509074147,1.73259673547,0.148087161623,0.45624506337
0.75,0.204949559114,0.496945751159,-0.0362207380772,0.414343050154,0.840774693244,-0.466577212471,1.74086991369,0.11183122577,0.530187457525
0.76,0.209180061119,0.505359072096,-0.040860001059,0.431787492237,0.841715199614,-0.460905324996,1.74690440423,0.0769785791009,0.604147501277
0.77,0.213585308959,0.513780055151,-0.0454388445772,0.449281138239,0.842314264826,-0.454494262445,1.75072490039,0.043554277805,0.677918621796
0.78,0.218165683884,0.522205357392,-0.0499498863079,0.466801990245,0.84258628517,-0.44734695256,1.75236331365,0.0115785138995,0.751292717285
0.79,0.222921348764,0.530631780855,-0.0543857836284,0.484328404512,0.842545835104,-0.4394684081,1.7518583429,-0.0189331533642,0.824061642419
0.8,0.227852251974,0.539056274094,-0.0587392544699,0.501839157103,0.842207622103,-0.430865719712,1.7492550127,-0.0479695604579,0.896018739047
0.81,0.232958131906,0.547475933297,-0.0630030980226,0.519313504766,0.841586443895,-0.421548033319,1.74460418679,-0.0755236988674,0.966960390748
0.82,0.238238522069,0.555888002972,-0.0671702151363,0.536731240839,0.840697148125,-0.411526511897,1.73796206293,-0.101592472486,1.03668757856
0.83,0.243692756723,0.564289876259,-0.0712336282605,0.554072746025,0.839554594445,-0.400814281748,1.72938965523,-0.126176454762,1.10500741444
0.84,0.24931997699,0.572679094861,-0.0751865007712,0.571319033944,0.83817361903,-0.389426363608,1.71895226966,-0.149279647113,1.1717346289
0.85,0.255119137402,0.58105334864,-0.0790221555327,0.588451791418,0.836569001503,-0.37737958917,1.70671897819,-0.170909239958,1.23669298963
0.86,0.261089012818,0.589410474891,-0.0827340925546,0.605453413507,0.834755434231,-0.364692503815,1.69276209675,-0.191075377592,1.29971662901
0.87,0.267228205672,0.597748457325,-0.086316005609,0.622307033353,0.832747493951,-0.351385256589,1.67715667153,-0.209790927973,1.36065125981
0.88,0.273535153485,0.60606542477,-0.0897617976864,0.638996546938,0.830559615671,-0.337479478619,1.65997997795,-0.227071258328,1.41935526057
0.89,0.28000813661,0.614359649638,-0.0930655951814,0.655506632912,0.828206068785,-0.322998151378,1.6413110359,-0.242934017426,1.47570061485
0.9,0.286645286143,0.622629546146,-0.096221760714,0.671822767656,0.825700935323,-0.307965466322,1.62123014445,-0.257398925194,1.52957369108
0.91,0.293444591964,0.630873668345,-0.0992249045078,0.687931235801,0.823058090281,-0.292406677556,1.59981843869,-0.270487570186,1.58087585347
0.92,0.300403910859,0.639090707952,-0.102069894265,0.70381913643,0.820291183919,-0.276347949253,1.57715747087,-0.28222321543,1.62952389753
0.93,0.307520974692,0.647279492023,-0.104751863493,0.719474385218,0.817413625972,-0.259816199606,1.55332881759,-0.292630612961,1.67545030741
0.94,0.314793398564,0.655438980471,-0.107266218257,0.734885712782,0.81443857166,-0.242838943105,1.52841371404,-0.301735827271,1.71860333583
0.95,0.322218688948,0.663568263456,-0.109608642355,0.750042659499,0.811378909427,-0.225444132889,1.50249271634,-0.309566067876,1.75894691063
0.96,0.329794251754,0.67166655866,-0.111775100915,0.764935567108,0.808247250302,-0.207660004892,1.47564539212,-0.316149531083,1.79646037532
0.97,0.33751740029,0.679733208462,-0.113761842453,0.779555567342,0.805055918805,-0.189514925383,1.44795003953,-0.321515250925,1.83113807368
0.98,0.345385363101,0.687767677036,-0.115565399423,0.793894567899,0.801816945284,-0.171037243418,1.41948343426,-0.325692959226,1.86298879112
0.99,0.353395291648,0.695769547368,-0.117182587321,0.807945236027,0.79854205962,-0.15225514956,1.39032060408,-0.328712954711,1.89203506754
1,0.361544267821,0.703738518228,-0.118610502414,0.82170097998,0.79524268619,-0.133196542068,1.36053462998,-0.330605980949,1.91831239791
1.01,0.369829311248,0.711674401092,-0.119846518163,0.835155928626,0.791929940001,-0.113888901602,1.33019647306,-0.331403112908,1.94186833814
1.02,0.378247386394,0.719577117028,-0.120888280446,0.848304909441,0.788614623932,-0.0943591753047,1.2993748257,-0.331135651913,1.96276153428
1.03,0.386795409436,0.72744669357,-0.121733701669,0.86114342514,0.785307226963,-0.0746336709165,1.26813598612,-0.329835028694,1.98106069337
1.04,0.395470254896,0.735283261567,-0.122380953864,0.873667629164,0.782017923358,-0.0547379614374,1.23654375455,-0.327532714193,1.99684351396
1.05,0.40426876202,0.743087052037,-0.122828460897,0.885874300231,0.778756572679,-0.0346968006373,1.20465934974,-0.324260137813,2.0101955938
1.06,0.413187740901,0.750858393021,-0.123074889877,0.897760816159,0.775532720601,-0.0145340495614,1.17254134435,-0.320048612744,2.0212093311
1.07,0.422223978343,0.758597706449,-0.123119141889,0.909325127118,0.772355600424,0.00572738598463,1.14024561766,-0.314929268,2.02998283463
1.08,0.431374243443,0.76630550503,-0.122960342157,0.920565728512,0.769234135241,0.0260656071313,1.10782532407,-0.308932986771,2.03661885649
1.09,0.440635292913,0.773982389154,-0.122597829746,0.9314816336,0.766176940689,0.0464597631145,1.07533087609,-0.30209035071,2.04122375958
1.1,0.450003876115,0.781629043843,-0.122031146895,0.942072346034,0.763192328227,0.0668900823228,1.04280994017,-0.294431589775,2.0439065304
1.11,0.459476739834,0.789246235719,-0.1212600281,0.952337832403,0.760288308894,0.0873378937225,1.01030744431,-0.285986537184,2.04477784585
1.12,0.469050632763,0.796834810021,-0.120284389021,0.96227849492,0.757472597484,0.10778563924,0.977865595836,-0.276784589147,2.0439492009
1.13,0.478722309732,0.804395687668,-0.119104315315,0.97189514432,0.754752617111,0.128216877741,0.945523908346,-0.26685466898,2.04153210255
1.14,0.48848853565,0.811929862363,-0.117720051466,0.981188973087,0.752135504104,0.148616281291,0.913319236605,-0.256225195138,2.03763733372
1.15,0.498346089194,0.819438397751,-0.116131989689,0.990161529052,0.749628113208,0.168969624415,0.881285818275,-0.244924052886,2.0323742892
1.16,0.508291766231,0.826922424628,-0.114340658977,0.998814689452,0.747237023046,0.189263767075,0.849455321543,-0.232978569185,2.02585038458
1.17,0.518322382983,0.834383138211,-0.112346714347,1.00715063548,0.744968541824,0.209486632107,0.817856897716,-0.220415490424,2.01817053775
1.18,0.528434778941,0.841821795464,-0.110150926335,1.01517182741,0.742828713238,0.22962717783,0.786517237944,-0.207260962677,2.00943672157
1.19,0.538625819531,0.849239712476,-0.107754170791,1.02288098024,0.740823322571,0.249675366538,0.75546063332,-0.193540514083,1.99974758539
1.2,0.548892398545,0.856638261915,-0.105157419005,1.03028104007,0.738957902956,0.269622129538,0.724709037659,-0.179279039054,1.98919814241
1.21,0.559231440332,0.864018870535,-0.1023617282,1.037375161,0.73723774179,0.289459329386,0.694282132372,-0.16450078398,1.97787951935
1.22,0.569639901765,0.871383016751,-0.0993682324168,1.04416668272,0.735667887276,0.309179719925,0.664197392852,-0.14922933409,1.9658787643
1.23,0.580114773987,0.878732228281,-0.0961781338016,1.05065910885,0.734253155108,0.328776904672,0.634470155896,-0.133487601148,1.95327870848
1.24,0.590653083942,0.886068079853,-0.0927926943234,1.05685608584,0.732998135254,0.348245294094,0.605113687759,-0.117297811702,1.94015787742
1.25,0.601251895704,0.893392190986,-0.0892132279197,1.06276138261,0.731907198874,0.367580062221,0.576139252417,-0.100681495573,1.92659044699
1.26,0.611908311594,0.900706223831,-0.0854410930789,1.06837887089,0.730984505342,0.386777103034,0.547556179776,-0.0836594742935,1.91264623961
1.27,0.622619473121,0.908011881093,-0.081477685859,1.0737125062,0.730234009388,0.405832987013,0.519371933481,-0.0662518491957,1.89839075632
1.28,0.633382561719,0.915310904019,-0.0773244333387,1.07876630956,0.729659468358,0.424744918161,0.491592178133,-0.0484779888563,1.88388524023
1.29,0.644194799313,0.92260507046,-0.0729827874958,1.08354434977,0.729264449611,0.443510691818,0.464220845722,-0.0303565156198,1.86918676738
1.3,0.655053448714,0.929896193011,-0.0684542195023,1.08805072647,0.729052338046,0.462128653508,0.437260201052,-0.0119052909039,1.85434836092
1.31,0.665955813842,0.937186117221,-0.0637402144256,1.09228955379,0.729026343793,0.480597659036,0.410710906069,0.00685860101157,1.83941912521
1.32,0.67689923979,0.944476719887,-0.0588422663216,1.09626494459,0.729189510066,0.498917036012,0.384572082994,0.0259188709968,1.82444439633
1.33,0.687881112734,0.951769907422,-0.0537618737054,1.09998099545,0.729544721213,0.517086546963,0.358841376158,0.0452600452221,1.80946590609
1.34,0.698898859699,0.959067614311,-0.0485005353824,1.10344177212,0.73009471097,0.535106354134,0.333515012461,0.0648674877439,1.7945219566
1.35,0.709949948176,0.966371801642,-0.0430597466227,1.1066512957,0.730842070967,0.552976986095,0.308587860477,0.0847274258515,1.77964760326
1.36,0.721031885612,0.97368445573,-0.0374409956605,1.10961352932,0.731789259487,0.570699306199,0.284053488141,0.104826978587,1.76487484368
1.37,0.732142218763,0.981007586831,-0.0316457604987,1.11233236546,0.732938610539,0.588274482968,0.259904219035,0.125154188724,1.7502328109
1.38,0.743278532922,0.988343227941,-0.0256755060011,1.11481161371,0.734292343262,0.605703962417,0.236131187299,0.14569805866,1.73574796915
1.39,0.754438451037,0.995693433697,-0.0195316812504,1.1170549892,0.735852571712,0.622989442351,0.212724391196,0.166448590693,1.72144431094
1.4,0.765619632706,1.00306027938,-0.0132157171541,1.11906610153,0.737621315076,0.640132848636,0.189672745407,0.187396832052,1.70734355413
1.41,0.776819773067,1.01044586,-0.00672902427764,1.12084844411,0.739600508353,0.657136313434,0.166964132083,0.208534925268,1.69346533839
1.42,0.788036601588,1.01785228954,-7.29908853805e-05,1.12240538417,0.741792013581,0.674002155404,0.144585450771,0.229856164435,1.67982742009
1.43,0.799267880751,1.02528170027,0.00675101883043,1.12374015313,0.744197631642,0.690732861836,0.122522667339,0.251355057987,1.66644586525
1.44,0.810511404651,1.03273624218,0.0137416663513,1.12485583752,0.746819114741,0.707331072709,0.100760861973,0.273027398633,1.65333524025
1.45,0.821764997501,1.04021808256,0.0208976402846,1.12575537037,0.749658179615,0.723799566641,0.079284276428,0.294870341222,1.64050880002
1.46,0.833026512058,1.04772940577,0.0282176576842,1.12644152305,0.752716521565,0.740141248709,0.0580763606731,0.316882489492,1.62797867375
1.47,0.844293827962,1.055272413,0.0357004652588,1.12691689758,0.755995829405,0.756359140116,0.0371198191488,0.339063992495,1.61575604838
