[rosmaster.main][INFO] 2026-07-31 17:16:51,313: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-07-31 17:16:51,314: Starting ROS Master Node
[xmlrpc][INFO] 2026-07-31 17:16:51,314: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-07-31 17:16:51,314: Started XML-RPC server [http://SC-202607101733:11311/]
[xmlrpc][INFO] 2026-07-31 17:16:51,315: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-07-31 17:16:51,315: Master initialized: port[11311], uri[http://SC-202607101733:11311/]
[rosmaster.master][INFO] 2026-07-31 17:16:51,410: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:51,410: +PARAM [/roslaunch/uris/host_sc_202607101733__34391] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:51,429: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:51,430: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:51,432: +SERVICE [/rosout/get_loggers] /rosout http://SC-202607101733:46877/
[rosmaster.master][INFO] 2026-07-31 17:16:51,432: +SERVICE [/rosout/set_logger_level] /rosout http://SC-202607101733:46877/
[rosmaster.master][INFO] 2026-07-31 17:16:51,433: +PUB [/rosout_agg] /rosout http://SC-202607101733:46877/
[rosmaster.master][INFO] 2026-07-31 17:16:51,434: +SUB [/rosout] /rosout http://SC-202607101733:46877/
[rosmaster.master][INFO] 2026-07-31 17:16:52,531: +PUB [/rosout] /s1_r1_trajectory_capture_28611_1785489412415 http://SC-202607101733:42405/
[rosmaster.master][INFO] 2026-07-31 17:16:52,532: +SERVICE [/s1_r1_trajectory_capture_28611_1785489412415/get_loggers] /s1_r1_trajectory_capture_28611_1785489412415 http://SC-202607101733:42405/
[rosmaster.master][INFO] 2026-07-31 17:16:52,533: +SERVICE [/s1_r1_trajectory_capture_28611_1785489412415/set_logger_level] /s1_r1_trajectory_capture_28611_1785489412415 http://SC-202607101733:42405/
[rosmaster.master][INFO] 2026-07-31 17:16:52,616: publisherUpdate[/rosout] -> http://SC-202607101733:46877/ ['http://SC-202607101733:42405/']
[rosmaster.master][INFO] 2026-07-31 17:16:52,619: publisherUpdate[/rosout] -> http://SC-202607101733:46877/ ['http://SC-202607101733:42405/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-07-31 17:16:54,392: +PARAM [/roslaunch/uris/host_sc_202607101733__39009] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:54,395: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:54,395: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:54,395: +PARAM [/mode] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:54,395: +PARAM [/push/num_points] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:54,395: +PARAM [/push/inter_points] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:54,395: +PARAM [/push/object/position] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:54,395: +PARAM [/push/object/quaternion] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:54,395: +PARAM [/push/start_pt] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:54,395: +PARAM [/push/end_pt] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:54,395: +PARAM [/pull/num_points] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:54,395: +PARAM [/pull/inter_points] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:54,396: +PARAM [/pull/object/position] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:54,396: +PARAM [/pull/object/quaternion] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:16:54,396: +PARAM [/pull/start_pt] by /roslaunch
