label,valid_for_trim,max_rotor_utilization,com_x_m,com_y_m,com_z_m,configuration_q1,configuration_q2,configuration_q3,configuration_d
workspace_000,False,None,-0.032806101825308916,1.4925008978702977e-08,0.016284637593836478,-2.6179938316345215,-2.356194496154785,-2.6179938316345215,0.0
workspace_001,False,None,-0.032053174568333745,1.5182043846489096e-08,0.01909460204158083,-2.6179938316345215,-2.356194496154785,-2.6179938316345215,0.03999999910593033
workspace_002,True,0.661337272821584,-0.031300243685157825,1.5439077829834947e-08,0.02190456970486333,-2.6179938316345215,-2.356194496154785,-2.6179938316345215,0.07999999821186066
workspace_003,True,0.6666667483358751,-0.032806110912806906,1.4925009423162423e-08,-0.01532747837372675,-2.6179938316345215,-2.356194496154785,0.0,0.0
workspace_004,True,0.6640020297878142,-0.03205318272659317,1.518204405221951e-08,-0.01813744499069488,-2.6179938316345215,-2.356194496154785,0.0,0.03999999910593033
workspace_005,True,0.6613373102470688,-0.03130025425989187,1.543907877702944e-08,-0.020947412654456973,-2.6179938316345215,-2.356194496154785,0.0,0.07999999821186066
workspace_006,True,0.7226066536280563,-0.04861217495654021,1.6809239542777202e-08,0.012049413622848577,-2.6179938316345215,-2.356194496154785,2.6179938316345215,0.0
workspace_007,True,0.7298867944544589,-0.050669210129357406,1.7401248002685542e-08,0.014106451006329438,-2.6179938316345215,-2.356194496154785,2.6179938316345215,0.03999999910593033
workspace_008,True,0.737166955789993,-0.052726251097119495,1.7993256701241583e-08,0.016163489080960408,-2.6179938316345215,-2.356194496154785,2.6179938316345215,0.07999999821186066
workspace_009,True,0.7546365270117174,-0.057662355277201864,1.7888102439217682e-08,0.023843830807480933,-2.6179938316345215,0.0,-2.6179938316345215,0.0
workspace_010,True,0.7494886887190415,-0.056207810784942316,1.8061498035119695e-08,0.021324485928843596,-2.6179938316345215,0.0,-2.6179938316345215,0.03999999910593033
workspace_011,True,0.7443408514540706,-0.05475326658306573,1.8234893213474564e-08,0.0188051362123666,-2.6179938316345215,0.0,-2.6179938316345215,0.07999999821186066
workspace_012,True,0.833747429734062,-0.0800154856312106,2.055280216740468e-08,0.04619698001266515,-2.6179938316345215,0.0,0.0,0.0
workspace_013,True,0.8426637566350097,-0.08253483231039614,2.1199922303683453e-08,0.047651526057911064,-2.6179938316345215,0.0,0.0,0.03999999910593033
workspace_014,True,0.8515800868575472,-0.0850541799281113,2.1847042681033227e-08,0.049106072645017526,-2.6179938316345215,0.0,0.0,0.07999999821186066
workspace_015,True,0.7256798788067662,-0.049480528124854074,1.6912752757531354e-08,0.03801516566024125,-2.6179938316345215,0.0,2.6179938316345215,0.0
workspace_016,True,0.7153842031687192,-0.046571439754790826,1.6912753232539437e-08,0.038015163706670935,-2.6179938316345215,0.0,2.6179938316345215,0.03999999910593033
workspace_017,True,0.7050885112988843,-0.043662346798365614,1.691275270864714e-08,0.0380151653620277,-2.6179938316345215,0.0,2.6179938316345215,0.07999999821186066
workspace_018,True,0.6735151888181409,-0.03474116761869471,1.5155686611022443e-08,0.036074686150003456,-2.6179938316345215,2.356194496154785,-2.6179938316345215,0.0
workspace_019,True,0.6834600512043656,-0.037551131481921296,1.5837451151890643e-08,0.03682761432766364,-2.6179938316345215,2.356194496154785,-2.6179938316345215,0.03999999910593033
workspace_020,True,0.693404924970829,-0.040361098560684386,1.6519215623917113e-08,0.037580546131525325,-2.6179938316345215,2.356194496154785,-2.6179938316345215,0.07999999821186066
workspace_021,True,0.5616354336773105,-0.0031290551970391536,1.1387228894903581e-08,0.036074665754672504,-2.6179938316345215,2.356194496154785,0.0,0.0
workspace_022,True,0.5516905641622085,-0.0003190886259358868,1.1399045461987889e-08,0.03682759285128985,-2.6179938316345215,2.356194496154785,0.0,0.03999999910593033
workspace_023,True,0.5593768378121252,0.002490878991961331,1.1410862033474209e-08,0.03758052022839435,-2.6179938316345215,2.356194496154785,0.0,0.07999999821186066
workspace_024,False,None,-0.030505949776690484,1.4650809416260341e-08,0.020268613276761875,-2.6179938316345215,2.356194496154785,2.6179938316345215,0.0
workspace_025,False,None,-0.03256298766524832,1.524281820709742e-08,0.01821157907049449,-2.6179938316345215,2.356194496154785,2.6179938316345215,0.03999999910593033
workspace_026,True,0.6730864547477127,-0.0346200262449583,1.5834826628162774e-08,0.016154539069283207,-2.6179938316345215,2.356194496154785,2.6179938316345215,0.07999999821186066
workspace_027,False,None,0.03655325334419657,6.656729203770924e-09,0.002300169922710805,0.0,-2.356194496154785,-2.6179938316345215,0.0
workspace_028,False,None,0.037306182443982455,6.913763864016311e-09,-0.0005097941689839909,0.0,-2.356194496154785,-2.6179938316345215,0.03999999910593033
workspace_029,True,0.6852578284712494,0.03805911001115697,7.170798254799704e-09,-0.003319762858517629,0.0,-2.356194496154785,-2.6179938316345215,0.07999999821186066
workspace_030,True,0.6239885079229691,0.02074719302567055,8.5409574296824e-09,0.02967706573935622,0.0,-2.356194496154785,0.0,0.0
workspace_031,True,0.6167083575597938,0.01869015397417903,9.132966205586299e-09,0.0317341035019521,0.0,-2.356194496154785,0.0,0.03999999910593033
workspace_032,True,0.6094282044845513,0.01663311415638087,9.724975202030614e-09,0.03379114203085412,0.0,-2.356194496154785,0.0,0.07999999821186066
workspace_033,True,0.7208792419997511,0.04812409874604561,5.277377121894043e-09,0.013871022574603254,0.0,-2.356194496154785,2.6179938316345215,0.0
workspace_034,True,0.7308241017811073,0.05093406254320275,5.2891941689252225e-09,0.013118094469173499,0.0,-2.356194496154785,2.6179938316345215,0.03999999910593033
workspace_035,True,0.7407689805469254,0.05374403170450395,5.301010124337197e-09,0.012365168662664676,0.0,-2.356194496154785,2.6179938316345215,0.07999999821186066
workspace_036,True,0.7694889126480213,0.061858976318361375,3.640050408938167e-09,0.008181824487277223,0.0,0.0,-2.6179938316345215,0.0
workspace_037,True,0.7605725960119134,0.05933963124531115,4.287170498209525e-09,0.009636368433151965,0.0,0.0,-2.6179938316345215,0.03999999910593033
workspace_038,True,0.7516562717049229,0.05682028400481948,4.9342903936965186e-09,0.011090916713909715,0.0,0.0,-2.6179938316345215,0.07999999821186066
workspace_039,True,0.8775564240253487,0.09239392992980042,0.0,0.0,0.0,0.0,0.0,0.0
workspace_040,True,0.8878521094769012,0.09530302107271225,0.0,0.0,0.0,0.0,0.0,0.03999999910593033
workspace_041,True,0.8981477987638947,0.09821211329934483,0.0,0.0,0.0,0.0,0.0,0.07999999821186066
workspace_042,True,0.7694889126480213,0.061858976318361375,3.640050408938167e-09,-0.008181824487277223,0.0,0.0,2.6179938316345215,0.0
workspace_043,True,0.7605725960119134,0.05933963124531115,4.287170498209525e-09,-0.009636367349431296,0.0,0.0,2.6179938316345215,0.03999999910593033
workspace_044,True,0.7516562717049229,0.05682028400481948,4.9342903936965186e-09,-0.011090915630189047,0.0,0.0,2.6179938316345215,0.07999999821186066
workspace_045,True,0.7208792234673016,0.048124093509620054,5.2773777461245334e-09,-0.013871017338174418,0.0,2.356194496154785,-2.6179938316345215,0.0
workspace_046,True,0.7308240859607241,0.05093405807308338,5.289194701804907e-09,-0.013118089999051338,0.0,2.356194496154785,-2.6179938316345215,0.03999999910593033
workspace_047,True,0.7407689647265419,0.05374402723438451,5.301010657216891e-09,-0.012365164192542438,0.0,2.356194496154785,-2.6179938316345215,0.07999999821186066
workspace_048,True,0.6239884893905201,0.020747187789244996,8.54095805391289e-09,-0.029677060502927382,0.0,2.356194496154785,0.0,0.0
workspace_049,True,0.6167083390273445,0.018690148737753477,9.13296682981679e-09,-0.03173409826552326,0.0,2.356194496154785,0.0,0.03999999910593033
workspace_050,True,0.6094281859521019,0.01663310891995532,9.724975826261103e-09,-0.03379113679442529,0.0,2.356194496154785,0.0,0.07999999821186066
workspace_051,False,None,0.036553248107770775,6.656729828001441e-09,-0.0023001646862817297,0.0,2.356194496154785,2.6179938316345215,0.0
workspace_052,False,None,0.03730617797386286,6.913764396896024e-09,0.0005097986391063881,0.0,2.356194496154785,2.6179938316345215,0.03999999910593033
workspace_053,True,0.6852578126508652,0.03805910554103738,7.170798787679417e-09,0.003319767328640026,0.0,2.356194496154785,2.6179938316345215,0.07999999821186066
workspace_054,False,None,-0.030505948748237557,1.4650809293659228e-08,-0.020268609438517306,2.6179938316345215,-2.356194496154785,-2.6179938316345215,0.0
workspace_055,False,None,-0.032562986356308256,1.524281805105964e-08,-0.018211574185456023,2.6179938316345215,-2.356194496154785,-2.6179938316345215,0.03999999910593033
workspace_056,True,0.6730864501151878,-0.03462002493601821,1.5834826472124988e-08,-0.01615453418424463,2.6179938316345215,-2.356194496154785,-2.6179938316345215,0.07999999821186066
workspace_057,True,0.5616354300374693,-0.003129054168586171,1.138722877230246e-08,-0.03607466191642772,2.6179938316345215,-2.356194496154785,0.0,0.0
workspace_058,True,0.5516905605223674,-0.0003190875974829043,1.1399045339386767e-08,-0.03682758901304506,2.6179938316345215,-2.356194496154785,0.0,0.03999999910593033
workspace_059,True,0.5593768414519658,0.0024908800204143135,1.1410861910873087e-08,-0.03758051639014957,2.6179938316345215,-2.356194496154785,0.0,0.07999999821186066
workspace_060,True,0.6735151851782996,-0.03474116659024169,1.5155686488421316e-08,-0.03607468231175856,2.6179938316345215,-2.356194496154785,2.6179938316345215,0.0
workspace_061,True,0.6834600465718403,-0.037551130172981145,1.583745099585285e-08,-0.03682760944262485,2.6179938316345215,-2.356194496154785,2.6179938316345215,0.03999999910593033
workspace_062,True,0.6934049203383038,-0.04036109725174423,1.6519215467879324e-08,-0.037580541246486535,2.6179938316345215,-2.356194496154785,2.6179938316345215,0.07999999821186066
workspace_063,True,0.7256798788067662,-0.049480528124854074,1.6912752757531354e-08,-0.03801516566024125,2.6179938316345215,0.0,-2.6179938316345215,0.0
workspace_064,True,0.7153842012509979,-0.04657143921293032,1.691275316794464e-08,-0.03801516464520051,2.6179938316345215,0.0,-2.6179938316345215,0.03999999910593033
workspace_065,True,0.705088509381163,-0.0436623462565051,1.6912752644052342e-08,-0.038015166300557277,2.6179938316345215,0.0,-2.6179938316345215,0.07999999821186066
workspace_066,True,0.833747429734062,-0.0800154856312106,2.055280216740468e-08,-0.04619698001266515,2.6179938316345215,0.0,0.0,0.0
workspace_067,True,0.8426637566350097,-0.08253483231039614,2.1199922303683453e-08,-0.047651526057911064,2.6179938316345215,0.0,0.0,0.03999999910593033
workspace_068,True,0.8515800868575472,-0.0850541799281113,2.1847042681033227e-08,-0.049106072645017526,2.6179938316345215,0.0,0.0,0.07999999821186066
workspace_069,True,0.7546365270117174,-0.057662355277201864,1.7888102439217682e-08,-0.023843830807480933,2.6179938316345215,0.0,2.6179938316345215,0.0
workspace_070,True,0.7494886868013201,-0.05620781024308181,1.8061497970524897e-08,-0.02132448686737317,2.6179938316345215,0.0,2.6179938316345215,0.03999999910593033
workspace_071,True,0.744340849536349,-0.054753266041205215,1.8234893148879765e-08,-0.018805137150896174,2.6179938316345215,0.0,2.6179938316345215,0.07999999821186066
workspace_072,True,0.7226066672121504,-0.04861217879478516,1.6809240000331612e-08,-0.012049412594394076,2.6179938316345215,2.356194496154785,-2.6179938316345215,0.0
workspace_073,True,0.7298868117433053,-0.05066921501439627,1.7401248585027496e-08,-0.01410644969738739,2.6179938316345215,2.356194496154785,-2.6179938316345215,0.03999999910593033
workspace_074,True,0.7371669730788392,-0.05272625598215837,1.799325728358354e-08,-0.01616348777201836,2.6179938316345215,2.356194496154785,-2.6179938316345215,0.07999999821186066
workspace_075,True,0.6666667619199688,-0.03280611475105176,1.4925009880716823e-08,0.01532747940218122,2.6179938316345215,2.356194496154785,0.0,0.0
workspace_076,True,0.664002043371908,-0.03205318656483802,1.5182044509773906e-08,0.01813744601914935,2.6179938316345215,2.356194496154785,0.0,0.03999999910593033
workspace_077,True,0.6613373238311621,-0.031300258098136725,1.5439079234583835e-08,0.020947413682911448,2.6179938316345215,2.356194496154785,0.0,0.07999999821186066
workspace_078,False,None,-0.032806105663553554,1.492500943625735e-08,-0.016284636565382066,2.6179938316345215,2.356194496154785,2.6179938316345215,0.0
workspace_079,False,None,-0.03205317945337229,1.5182044428831014e-08,-0.01909460073263887,2.6179938316345215,2.356194496154785,2.6179938316345215,0.03999999910593033
workspace_080,True,0.6613372901104296,-0.031300248570196476,1.5439078412176878e-08,-0.02190456839592134,2.6179938316345215,2.356194496154785,2.6179938316345215,0.07999999821186066
